⺁	{⺁} px
𤀣	. dh｜氵爰 dy
𤀤	氵算 ds
𤀥	氵箅 db
𤀦	氵石 du
𤀧	氵免 dm
𤀨	氵窬 dy
𤀩	水罒 us｜臣水 iu
𤀪	氵頗 dp
𤀫	. db｜氵辛 dx
𤀬	氵大 dd
𤀭	氵貝 db
𤀮	氵林 dl
𤀯	氵寸 dc
𤀰	氵高 dg
𤀱	氵𰀁 df
𤀲	水辛 ux｜辛水 xu
𤀳	氵聞 dw
𤀴	氵豕 du
𤀵	氵行 dx
𤀶	氵隹 dv
𤀷	津育 jy
𤀸	氵魚 dy
𤀹	氵睿 dr
𤀺	氵嘉 dj
𤀻	氵木 dm
𤀼	氵录 dl
𤀾	氵艹 dc
𤁁	氵牛 dn
𤁄	氵土 dt
𤁆	氵哀 da
𤁉	氵土 dt
𤁊	氵丶 dd
𤁋	氵止 dv
𤁌	氵廾 dc
𤁍	氵止 dv
𤁎	氵一 da
𤁏	氵耤 dj
𤁐	氵閣 dg
𤁒	氵疑 dy
𤁗	氵綿 dm
𤁚	氵微 dw
𤁟	氵口 dk
𤁡	. dd｜氵覃 dt
𤁢	氵戈 dg
𤁣	氵罷 db
𤁤	氵欠 dq
𤁥	氵輦 dn
𤁧	氵齒 di
𤁨	氵瞍 ds
𤁩	氵質 dv
𤁪	. dk｜氵頁 dy
𤁫	氵頁 dy
𤁬	氵蔥 dc
𤁭	氵角 dj
𤁮	. do｜氵區 dq
𤁯	. dl
𤁰	氵亍 di
𤁱	氵蔡 dc
𤁲	氵徹 di
𤁳	氵霅 dv
𤁴	氵劇 dj
𤁵	氵閭 dl
𤁶	氵爻 dy
𤁷	氵適 du
𤁸	氵蓼 dl
𤁹	. dh｜氵赤 di
𤁺	氵工 dg
𤁻	氵方 df
𤁼	氵米 dm
𤁽	. dy｜氵目 do
𤁾	氵頁 dy
𤁿	氵胃 dw
𤂀	滿天 mt
𤂁	氵牛 dn
𤂂	氵調 dd
𤂃	. jy
𤂄	氵刂 dd
𤂅	清寸 qc
𤂆	浮虎 fh
𤂇	氵孖 dm
𤂉	氵入 dr
𤂊	氵斤 dj
𤂏	氵灬 dh
𤂐	氵賢 dx
𤂑	氵辰 di
𤂓	氵八 db
𤂔	氵頁 dy
𤂕	氵沅 dy
𤂖	氵影 dy
𤂘	氵臣 di
𤂙	氵入 dr
𤂛	氵夫 df
𤂟	臣水 iu｜水回 uh
𤂠	溘去 kq
𤂡	氵厶 ds
𤂢	氵比 db
𤂣	氵丨 da
𤂤	氵犇 db
𤂥	氵亏 dk
𤂦	氵隹 dv
𤂮	氵鳥 dn
𤂯	氵貝 db
𤂰	氵隶 dl
𤂱	氵黎 dl
𤂲	氵黄 dh
𤂳	氵篡 dc
𤂴	氵戈 dg
𤂵	氵縢 dt
𤂶	. dl｜氵隹 dv
𤂷	氵閼 de
𤂸	氵𰀁 df
𤂹	. dj｜氵蕈 dx
𤂺	. dl
𤂻	氵豫 dy
𤂼	. uz
𤂽	氵絲 ds
𤂾	氵歲 ds
𤂿	氵選 dx
𤃀	氵隶 dl
𤃁	氵土 dt
𤃂	氵蕁 dx
𤃃	氵番 df
𤃄	刀水 du｜水易 uy
𤃅	氵曇 dt
𤃆	氵寰 dh
𤃇	氵燕 dy
𤃈	氵丿 dp
𤃉	氵心 dx
𤃊	氵艹 dc
𤃋	氵貝 db
𤃏	氵石 du
𤃒	氵睿 dr
𤃓	氵止 dv
𤃕	氵叹 dt
𤃖	氵魚 dy
𤃗	氵盥 dg｜水皿 um
𤃘	氵貝 db
𤃙	氵艹 dc
𤃚	氵更 dg
𤃣	氵頁 dy
𤃦	氵間 dj
𤃨	氵面 dm
𤃩	. dl｜氵口 dk
𤃪	氵戲 dx
𤃫	氵薨 dh
𤃬	. dg
𤃭	氵焦 dj
𤃮	. dv
𤃯	滷舟 lv
𤃰	氵縻 dm
𤃱	氵麋 dm
𤃲	氵縶 dv
𤃳	氵田 dt
𤃴	氵歲 ds
𤃵	. db
𤃶	氵磴 dd
𤃷	. da｜氵音 dy
𤃸	氵革 dg
𤃹	氵石 du
𤃺	氵田 dt
𤃼	氵肉 dr
𤃽	氵鮪 dw
𤃾	氵簋 dg
𤃿	氵伐 df
𤄀	氵又 dy
𤄁	氵蟄 dv
𤄃	氵闊 dk
𤄄	沐鳩 mj
𤄈	臨水 lu｜水臨 ul
𤄉	氵刂 dd
𤄊	氵土 dt
𤄌	折滅 vm
𤄎	. dd
𤄏	氵鯀 dg
𤄐	氵留 dl
𤄑	. di｜氵攴 dp
𤄒	氵閒 dx
𤄓	. dc｜氵聚 dj
𤄔	氵戈 dg
𤄕	氵與 dy
𤄖	氵雜 dz
𤄗	氵米 dm
𤄘	氵夂 dw
𤄙	氵簫 dx
𤄚	氵灭 dm
𤄛	氵魋 dt
𤄜	氵番 df
𤄝	澧去 lq
𤄞	氵乂 di
𤄡	氵日 do
𤄤	潘共 pg
𤄥	. tx｜沓㬎 dx
𤄦	氵思 ds
𤄧	浿言 py
𤄨	氵刂 dd
𤄩	氵焦 dj
𤄪	氵又 dy
𤄫	氵番 df
𤄬	氵雞 dj
𤄳	水先 ux｜先水 xu
𤄴	氵貝 db
𤄵	氵鬲 dg
𤄶	氵藥 dy
𤄷	氵羅 dl
𤄸	氵火 dh
𤄹	氵類 dl
𤄺	氵邊 db
𤄼	氵火 dh
𤄽	氵璽 dx
𤅀	氵羸 dl
𤅁	氵辰 di
𤅃	氵簾 dl
𤅅	氵林 dl
𤅆	氵頁 dy
𤅇	氵糸 ds
𤅈	氵韭 dj
𤅊	氵獻 dx
𤅋	氵竇 dd
𤅍	氵日 do
𤅎	氵顢 dm
𤅏	氵立 dl
𤅐	. yq｜氵豈 dq
𤅑	氵壤 dr
𤅒	氵心 dx
𤅓	氵頁 dy
𤅔	氵籍 dj
𤅗	氵言 dy
𤅘	氵月 do
𤅙	氵嚴 dy
𤅚	氵且 dq
𤅛	氵辰 di
𤅝	氵阝 de
𤅠	氵驀 dm
𤅡	氵頁 dy
𤅢	氵龠 dy
𤅣	. dm
𤅤	氵爾 de
𤅥	氵又 dy
𤅦	氵丨 da
𤅨	氵又 dy
𤅩	漢鳥 hn
𤅪	氵寸 dc
𤅫	氵令 dl
𤅬	氵鬲 dg
𤅭	氵爻 dy
𤅯	氵又 dy
𤅰	氵籥 dy
𤅱	氵蠱 dg
𤅲	氵馬 dm
𤅳	氵角 dj
𤅴	濁氣 vq
𤅵	氵髓 ds
𤅷	氵靈 dl
𤅸	氵鹽 dy
𤅹	氵大 dd
𤅻	氵邑 dy
𤅼	氵鳥 dn
𤅽	氵鳥 dn
𤅿	氵皿 dm
𤆀	氵驫 db
𤆁	泉泉 qq｜水泉 uq
𤆂	火一 ha｜. hy
𤆃	火厶 hs｜厶火 sh
𤆄	火乃 hn
𤆅	火人 hr｜人火 rh
𤆆	火又 hy｜又火 yh
𤆇	火匕 hb
𤆉	丁火 dh｜火丁 hd
𤆊	火卜 hb
𤆋	人灬 rh
𤆌	火又 hy
𤆍	火大 hd
𤆎	扌火 fh
𤆐	久灬 jh
𤆑	火川 hi
𤆒	丿灬 ph
𤆓	火广 hg
𤆔	己灬 jh
𤆕	刃灬 rh
𤆖	丨灬 ah
𤆘	火凡 hf
𤆙	. hj
𤆚	火一 ha
𤆛	卜灬 bh
𤆜	火三 hs
𤆝	. hw｜火攴 hp
𤆞	火勿 hw
𤆟	火丿 hp
𤆡	火乌 hw
𤆢	火仑 hl
𤆣	火及 hj
𤆤	火冗 hr
𤆥	火匀 hy
𤆧	火丶 hd
𤆩	火水 hu
𤆫	勹灬 gh
𤆬	. hm｜毛灬 mh
𤆭	火升 hu
𤆮	火夫 hf
𤆯	火耂 hl｜耂火 lh
𤆰	火木 hm｜木火 mh
𤆱	一火 ah｜火巾 hj
𤆲	火水 hu｜水火 uh
𤆳	火又 hy
𤆵	火巴 hb
𤆶	火分 hf
𤆷	火化 hh
𤆺	火孔 hk
𤆼	. hv｜火宁 hn
𤆾	. hr｜火二 he
𤆿	火又 hy
𤇀	囗火 kh
𤇁	火旦 hd
𤇃	火厉 hl
𤇄	火闪 hu
𤇇	丷火 bh｜火干 hg
𤇈	火石 hu｜石火 uh
𤇊	火平 hp
𤇌	火古 hg
𤇍	术灬 uh
𤇏	了灬 lh
𤇐	丨灬 ah
𤇑	丶火 dh｜火冖 hb
𤇓	生灬 uh
𤇔	火夕 hx
𤇕	禾灬 hh
𤇖	. hy
𤇗	丿灬 ph
𤇘	夕灬 xh
𤇙	火且 hq
𤇚	火斥 hi
𤇛	火一 ha
𤇜	火民 hm
𤇝	弗火 fh｜火弗 hf
𤇞	火加 hj｜加火 jh
𤇟	一灬 ah
𤇠	乎灬 hh
𤇡	氐灬 dh
𤇣	火生 hu
𤇨	火丕 hp
𤇫	禾火 hh
𤇬	此火 ch｜火此 hc
𤇭	火龙 hl
𤇮	火乏 hf
𤇯	亠丿 wp
𤇰	火伐 hf｜伐火 fh
𤇱	火山 hu
𤇲	火任 hr｜任火 rh
𤇳	火戌 hx
𤇴	臣灬 ih
𤇵	宀火 bh｜火夕 hx
𤇶	火丞 hi
𤇷	火衤 hy｜衤火 yh
𤇸	臣灬 ih
𤇹	火毕 hb
𤇻	火当 hd
𤇽	火戎 hr
𤈀	冫灬 dh
𤈂	十灬 uh
𤈃	火冂 hk
𤈄	火吉 hj
𤈆	火史 hu
𤈇	火西 hx
𤈈	共火 gh｜火共 hg
𤈉	共灬 gh
𤈋	火几 hj
𤈌	日灬 oh
𤈍	火向 hx
𤈎	火旬 hx
𤈐	火朱 hv
𤈑	火匕 hb
𤈒	火缶 hf
𤈓	火丑 hi
𤈔	土灬 th
𤈕	多灬 dh
𤈖	色灬 sh
𤈗	𫜹灬 xh
𤈘	火列 hl
𤈙	火夷 hy
𤈛	火光 hg
𤈜	火至 hv
𤈢	火休 hx｜休火 xh
𤈣	缶火 fh｜火缶 hf
𤈥	火匕 hb
𤈦	火尾 hw
𤈧	火役 hy
𤈨	耳火 eh｜火乚 hg
𤈩	火羊 hy｜羊火 yh
𤈪	火戒 hj
𤈫	尸又 uy｜火又 hy
𤈬	火又 hy
𤈭	卜火 bh｜火夕 hx
𤈮	戈火 gh｜火𰀁 hf
𤈯	火丛 hc
𤈱	卜火 bh｜火目 ho
𤈲	火一 ha｜厂灭 im
𤈳	火又 hy｜目火 oh
𤈴	火卣 hy｜卣火 yh
𤈵	火日 ho
𤈶	火员 hy
𤈷	火佥 hq
𤈸	火力 hl
𤈹	山炎 uy
𤈼	火辛 hx
𤈽	火亨 hh
𤈾	氵火 dh｜火欠 hq
𤈿	求灬 qh
𤉁	火一 ha
𤉂	尾灬 wh
𤉄	豕灬 uh
𤉅	火君 hj｜君火 jh
𤉈	火吕 hl
𤉉	利灬 lh
𤉊	火土 ht
𤉌	火利 hl｜利火 lh
𤉍	火牢 hl
𤉎	火劭 hu｜劭火 uh
𤉏	目灬 oh
𤉐	出灬 ih
𤉑	火一 ha
𤉙	火君 hj
𤉝	火口 hk
𤉞	屮炎 cy｜火火 hh
𤉟	丰火 fh｜火刃 hr
𤉡	凹灬 ah
𤉢	丿灬 ph
𤉣	火甾 hz
𤉤	. hb｜火儿 he
𤉥	多灬 dh
𤉦	火委 hw
𤉧	火攵 hw｜爻攵 yw
𤉨	或火 hh
𤉪	火於 hy
𤉫	火天 ht
𤉬	火木 hm
𤉭	止炅 vj
𤉮	火否 hf
𤉯	火人 hr｜丿火 ph
𤉰	户火 hh｜火攵 hw
𤉱	丿灬 ph
𤉲	木炅 mj
𤉴	火日 ho
𤉵	火句 hj｜口火 kh
𤉶	火肴 hy
𤉷	火犬 hq｜丿火 ph
𤉸	火居 hj
𤉹	或火 hh
𤉺	火攵 hw｜又攵 yw
𤉼	火卷 hj
𤉽	店灬 dh
𤊀	火学 hx
𤊁	沾灬 vh
𤊄	火其 hq
𤊅	亟灬 jh
𤊆	覀火 xh｜火亠 hw
𤊇	火火 hh｜王火 wh
𤊌	串灬 ih
𤊍	火芥 hj
𤊏	火朋 hp｜朋火 ph
𤊐	火受 hu
𤊑	欣灬 xh
𤊖	火三 hs
𤊗	火亞 hy｜亞火 yh
𤊘	火物 hw｜物火 wh
𤊙	火隹 hv｜隹火 vh
𤊚	火二 he
𤊛	火丑 hi
𤊜	火大 hd｜台火 th
𤊝	勹灬 gh
𤊞	火長 hi
𤊟	火定 hd
𤊡	火奉 hf
𤊨	火或 hh
𤊩	火林 hl
𤊫	火坡 hp
𤊬	火非 hf
𤊮	火攵 hw｜又攵 yw
𤊯	肫灬 vh
𤊱	丿灬 ph
𤊲	. hn｜火囟 hx
𤊳	火殳 hu
𤊴	火砉 hh
𤊵	火即 hj
𤊶	火剌 hl
𤊷	火背 hb
𤊸	火咸 hx｜咸火 xh
𤊹	火勃 hb
𤊺	火彖 ht
𤊻	火冒 hm
𤊼	炎甘 yg
𤊽	. hu
𤊿	. hi｜火臼 hj
𤋀	火犬 hq
𤋁	. yh
𤋂	艹火 ch｜火罒 hs
𤋃	酋灬 qh
𤋄	火攵 hw｜矛火 mh
𤋅	火巳 hs
𤋆	戊炎 wy
𤋇	目灬 oh
𤋋	火大 hd
𤋌	丷灬 bh
𤋎	前火 qh｜火前 hq
𤋏	火娄 hl
𤋒	丰灬 fh
𤋓	火又 hy
𤋔	火艹 hc｜吉火 jh
𤋕	耳灬 eh
𤋗	火昫 hx｜昫火 xh
𤋘	火思 hs
𤋙	火苗 hm
𤋜	火昭 hv｜昭火 vh
𤋝	月火 oh｜火巨 hj
𤋠	火罒 hs
𤋢	火約 hy
𤋣	刍灬 ih
𤋥	句灬 jh
𤋦	火灬 hh｜秋灬 qh
𤋧	月灬 oh
𤋨	火丑 hi
𤋩	火文 hw
𤋪	火出 hi
𤋫	火屾 hu
𤋬	火夂 hw
𤋭	火香 hx
𤋮	臣灬 ih
𤋯	大灬 dh
𤋰	里力 ll
𤋱	重灬 vh
𤋲	火丙 hb
𤋳	火人 hr｜丿火 ph
𤋴	火刂 hd
𤌁	火冉 hr
𤌂	火刀 hd
𤌃	火月 ho
𤌄	火者 hv
𤌆	火屋 hw
𤌈	亻灬 rh
𤌉	芻灬 ih
𤌊	宰灬 zh
𤌋	火鬼 hg
𤌌	. yj｜火井 hj
𤌍	火隺 hh
𤌏	火翁 hw
𤌐	. hh｜火干 hg
𤌑	火一 ha｜𠂆灭 pm
𤌒	火圭 hg
𤌓	火木 hm
𤌔	肉灬 rh
𤌕	火右 hy
𤌖	火母 hm
𤌗	火罡 hg
𤌙	. ht｜火羽 hy
𤌚	火茴 hh
𤌛	火刀 hd
𤌜	炎口 yk｜火口 hk
𤌝	勹灬 gh
𤌟	火米 hm
𤌠	火舛 hi
𤌡	火夭 hy
𤌢	火大 hd
𤌤	火夏 hx
𤌥	火电 hd
𤌧	火桑 hs
𤌩	镸灬 ih
𤌪	火火 hh
𤌫	火石 hu
𤌮	火巨 hj
𤌰	火二 he
𤌲	肀灬 yh
𤌳	火奚 hx
𤌴	火桀 hj
𤌵	火人 hr
𤌶	火能 hn
𤌷	火恚 hh
𤌸	火草 hc
𤌹	火人 hr｜十火 uh
𤌺	火舟 hv｜止火 vh
𤌻	火吕 hl
𤌼	火王 hw
𤌽	火芻 hi｜芻火 ih
𤌾	高火 gh
𤌿	火疾 hj
𤍀	. yx｜火向 hx
𤍁	殺灬 uh
𤍂	來灬 lh
𤍅	火烈 hl
𤍍	亠灬 wh
𤍐	火推 ht
𤍒	火巢 hi
𤍓	火野 hy｜野火 yh
𤍔	火口 hk
𤍕	火酉 hy
𤍖	火斬 hv
𤍗	火攵 hw
𤍘	完炅 wj
𤍙	火火 hh｜炙火 vh
𤍚	火屮 hc
𤍛	火又 hy
𤍜	火參 hc
𤍝	火米 hm
𤍞	火二 he
𤍟	票灬 ph
𤍠	執灬 vh
𤍡	火丛 hc
𤍢	焱土 yt
𤍣	火堃 hk
𤍤	火章 hv
𤍦	火月 ho｜炉月 lo
𤍧	火丶 hd
𤍨	火孰 hu｜孰火 uh
𤍩	火立 hl
𤍪	火郭 hg
𤍫	堆灬 dh
𤍬	火业 hy
𤍭	火丶 hd
𤍮	規火 gh｜火規 hg
𤍱	雪灬 xh
𤍳	小焦 xj
𤍵	火將 hj｜將火 jh
𤍶	火累 hl
𤍹	刍灬 ih
𤍻	女灬 nh
𤍼	火艹 hc
𤍽	. uh
𤍾	火大 hd｜林火 lh
𤍿	火專 hv
𤎀	火王 hw｜业火 yh
𤎁	火刂 hd
𤎂	勔灬 mh
𤎃	火石 hu
𤎄	火焉 hy
𤎅	敖火 ah｜火敖 ha
𤎆	火土 ht
𤎇	火卩 he｜彳火 xh
𤎈	火丶 hd
𤎉	产灬 ih
𤎊	火束 hu
𤎋	火十 hu
𤎌	火堂 ht
𤎏	火人 hr
𤎖	火康 hk
𤎗	艹灬 ch
𤎘	. dy｜刀灬 dh
𤎙	火甲 hj
𤎚	火日 ho｜山火 uh
𤎛	火淫 hy
𤎝	雁灬 yh
𤎞	火氺 hu
𤎟	宀火 bh｜火土 ht
𤎠	火止 hv
𤎡	火臼 hj｜炙臼 vj
𤎢	炙炎 vy
𤎣	. ha｜火奄 hy
𤎤	勞少 lu
𤎥	帛炎 by
𤎦	肴灬 yh
𤎨	敝火 bh｜火敝 hb
𤎪	火田 ht｜土火 th
𤎫	火灭 hm｜炎灭 ym
𤎬	火又 hy
𤎮	火𰀁 hf｜土火 th
𤎯	火曾 hc｜曾火 ch
𤎰	曾灬 ch
𤎱	火雋 hj
𤎲	火量 hl
𤎳	火日 ho
𤎴	止灬 vh
𤎵	火刂 hd｜止火 vh
𤎶	火爲 hw
𤎷	戈火 gh｜火日 ho
𤎸	火火 hh｜凵火 kh
𤎹	丬灬 ph
𤎺	火贝 hb
𤎻	火萧 hx
𤎽	火貫 hg
𤎾	火刂 hd
𤎿	吉灬 jh
𤏀	火一 ha｜亻灰 rh
𤏁	氵灬 dh
𤏄	湔灬 jh
𤏅	就灬 jh
𤏍	火重 hv｜土火 th
𤏎	火圭 hg
𤏐	火間 hj
𤏓	火粤 hy
𤏖	火替 ht
𤏗	火森 hs
𤏘	火惑 hh
𤏙	火而 he
𤏚	火雁 hy
𤏛	備火 bh｜火備 hb
𤏜	火爲 hw｜爲火 wh
𤏝	火土 ht｜炙土 vt
𤏟	火心 hx
𤏠	夫無 fw
𤏡	火棘 hj｜棘火 jh
𤏪	火勞 hl
𤏭	火臼 hj｜炎臼 yj
𤏮	火敞 hi
𤏯	火土 ht
𤏰	火敝 hb
𤏱	. hz｜火取 hq
𤏲	火着 hv
𤏳	火貴 hg
𤏴	火喜 hx｜喜火 xh
𤏵	火干 hg
𤏶	火麀 hy
𤏷	冖火 bh｜火大 hd
𤏸	火著 hv
𤏹	亻灬 rh
𤏺	敖灬 ah
𤏻	火又 hy
𤏼	火飪 hr｜飪火 rh
𤏽	火辛 hx
𤏾	火酉 hy
𤐀	. hj｜. hy
𤐁	丨火 ah｜火罒 hs
𤐂	勤灬 qh
𤐃	火解 hj
𤐄	火煎 hj
𤐅	冫灬 dh
𤐇	火電 hd
𤐉	火感 hg
𤐋	火米 hm
𤐌	火葉 hy
𤐎	火日 ho
𤐏	火己 hj｜禾火 hh
𤐐	火詹 hv
𤐒	火盞 hv
𤐔	. yu｜火是 hu
𤐕	炎軍 yj
𤐖	火禁 hj
𤐗	火小 hx
𤐘	火殳 hu
𤐙	. hb
𤐞	炎苦 yk
𤐟	火冏 hj
𤐣	火鼎 hd
𤐤	火熙 hx
𤐥	炎荧 yy
𤐦	火戬 hj｜戬火 jh
𤐧	禾火 hh｜火田 ht
𤐨	火爾 he
𤐩	火蓋 hg
𤐪	火舛 hi
𤐫	火一 ha｜𠂆灭 pm
𤐬	火人 hr｜炙人 vr
𤐭	火壽 hu
𤐮	火人 hr｜台火 th
𤐯	火艹 hc
𤐲	火手 hu
𤐳	乂灬 ih
𤐴	火㬎 hx
𤐶	火豪 hh
𤐷	火塵 hi
𤐸	禾灬 hh
𤐺	火火 hh｜火炎 hy
𤐻	火一 ha
𤐽	火臺 ht
𤑀	火火 hh｜爫炎 vy
𤑂	厂戈 ig
𤑃	炙兼 vj
𤑄	. yh｜貝灬 bh
𤑅	亻灬 rh
𤑆	火土 ht
𤑇	火林 hl｜冂焚 kf
𤑊	彡灬 ph
𤑋	炎荧 yy
𤑏	福灬 fh
𤑐	火福 hf｜福火 fh
𤑑	火免 hm
𤑒	艹火 ch｜火彗 hh
𤑔	艹火 ch｜火執 hv
𤑕	. hh
𤑖	宀炎 by｜火火 hh
𤑗	炙巢 vi
𤑘	火滕 ht｜滕火 th
𤑙	火灬 hh
𤑛	火灬 hh
𤑜	弓灬 gh
𤑞	火蓮 hl
𤑠	火火 hh｜臼炎 jy
𤑡	火慧 hh
𤑢	火蔥 hc
𤑣	火丙 hb
𤑤	火鳥 hn｜厂火 ih
𤑥	火丰 hf
𤑦	火適 hu
𤑧	火最 hz
𤑨	弓火 gh｜火者 hv
𤑩	火灬 hh｜炙灬 vh
𤑪	丿灬 ph
𤑫	火蓬 hp
𤑰	鮎灬 nh
𤑱	火翬 hh
𤑳	火蕭 hx
𤑴	火𰀁 hf
𤑵	弓火 gh｜火芻 hi
𤑶	覃炎 ty
𤑷	火閹 hy
𤑸	. hl｜火見 hj
𤑺	火鼎 hd
𤑻	火二 he
𤑽	火火 hh｜口火 kh
𤑾	火隧 hs｜隧火 sh
𤑿	. hl｜火灬 hh
𤒀	火亢 hk｜炎亢 yk
𤒁	火心 hx
𤒂	火隹 hv｜止隹 vv
𤒃	火曄 hy
𤒄	火兼 hj
𤒅	火龜 hg
𤒆	火丸 hw｜亠火 wh
𤒈	火燕 hy
𤒉	或灬 hh
𤒋	火灬 hh
𤒍	火火 hh｜曲火 qh
𤒎	火學 hx
𤒏	隹灬 vh
𤒐	火林 hl
𤒑	火舛 hi
𤒒	古火 gh｜火丸 hw
𤒓	火或 hh
𤒔	火縛 hf
𤒕	澡灬 zh
𤒖	東火 dh｜火東 hd
𤒗	炙棗 vz
𤒘	火篤 hd
𤒚	火濃 hn
𤒜	或灬 hh
𤒝	. hz
𤒞	火火 hh｜台炎 ty
𤒡	火欠 hq｜僉火 qh
𤒢	火廪 hl
𤒣	炙麀 vy
𤒤	火聯 hl
𤒥	火斂 hl｜斂火 lh
𤒦	火斂 hl
𤒧	火小 hx｜炙小 vx
𤒨	火營 hy
𤒩	火翼 hy
𤒪	火篡 hc
𤒫	火亏 hk
𤒬	火一 ha
𤒭	黑八 hb
𤒮	火豕 hu｜丿火 ph
𤒯	火戈 hg｜火韱 hx
𤒰	火兔 ht
𤒱	火齋 hv
𤒷	火薟 hx
𤒹	火華 hh
𤒺	火米 hm
𤒻	. ht｜火闒 hd
𤒼	廣炎 gy
𤒽	火翟 hd
𤒾	火灭 hm
𤒿	堇灬 jh
𤓀	火二 he
𤓁	火舀 hy
𤓂	火薰 hx
𤓃	火簡 hj
𤓄	火又 hy
𤓅	火几 hj｜囗几 kj
𤓈	火藥 hy
𤓉	火難 hn｜難火 nh
𤓊	火言 hy
𤓋	火邊 hb
𤓌	火難 hn
𤓍	火鏖 ha
𤓎	火贊 hz
𤓏	火灬 hh｜炙灬 vh
𤓐	火灬 hh｜是灬 uh
𤓑	冂灬 kh
𤓒	火靡 hm
𤓓	火羅 hl
𤓔	火大 hd
𤓕	火火 hh
𤓖	火糸 hs｜糸火 sh
𤓗	火日 ho
𤓚	火灬 hh
𤓜	黍灬 uh
𤓝	火龠 hy
𤓞	火田 ht｜黍火 uh
𤓟	火火 hh｜𠂆焱 py
𤓠	火丨 ha
𤓡	火又 hy
𤓣	火寸 hc
𤓤	火處 hi｜處火 ih
𤓥	亠灬 wh
𤓦	火黑 hh
𤓨	燕雪 yx
𤓪	火隹 hv｜隹火 vh
𤓫	火豕 hu｜丿火 ph
𤓬	隹灬 vh
𤓭	火寸 hc
𤓮	火鬱 hy｜鬱火 yh
𤓯	. xb
𤓱	爪乙 vy
𤓲	爪丶 vd
𤓳	爫一 va
𤓴	爫又 vy
𤓵	爪夕 vx
𤓶	爪又 vy
𤓷	. va
𤓸	爫三 vs
𤓹	爫八 vb
𤓻	爫天 vt
𤓽	爫八 vb
𤓾	爫丈 vv
𤓿	爫又 vy
𤔀	爪奴 vn
𤔂	爫又 vy
𤔄	爫可 vk
𤔅	爪失 vu
𤔆	爫𰀁 vf
𤔇	爫一 va
𤔈	爪且 vq
𤔉	爪田 vt
𤔊	爫士 vu
𤔋	爪巨 vj
𤔌	爫𫜹 vx
𤔍	爫八 vb
𤔎	吉爪 jv｜爪吉 vj
𤔐	爫又 vy
𤔑	爪吕 vl
𤔒	爫丰 vf
𤔓	爫兄 vx
𤔔	爫又 vy
𤔕	乡主 xv
𤔖	果爪 gv｜爪果 vg
𤔗	囗爪 kv｜爪土 vt
𤔘	爫二 ve
𤔙	爪爪 vv
𤔜	爪田 vt
𤔠	爫攵 vw
𤔡	爫爲 vw
𤔢	爪蚤 vz
𤔣	爫叟 vs
𤔤	爫牧 vm
𤔥	舀木 ym
𤔦	爫冏 vj
𤔧	爫亏 vk
𤔨	爪麻 vm｜麻爪 mv
𤔩	爪國 vg
𤔪	爫又 vy
𤔫	爫曼 vm
𤔬	爫又 vy
𤔭	爫十 vu
𤔮	爪攴 vp
𤔰	爫勿 vw
𤔱	舀曲 yq
𤔲	爫司 vs
𤔳	爫糸 vs
𤔴	爫即 vj
𤔶	爪當 vd
𤔸	爫寸 vc
𤔹	爫个 vg
𤔺	爫司 vs
𤔿	爫夂 vw
𤕀	爫安 va
𤕂	奚芻 xi
𤕃	爫犬 vq
𤕄	爪日 vo｜舀日 yo
𤕅	爫缶 vf
𤕆	爫邕 vy
𤕇	妥妥 tt
𤕈	爫呂 vl
𤕉	爪火 vh
𤕊	. vx｜爪且 vq
𤕌	爫田 vt
𤕍	爫十 vu
𤕎	父于 fy
𤕐	父冖 fb｜十父 uf
𤕑	父开 fk
𤕒	父可 fk
𤕓	父邪 fx
𤕕	父邑 fy
𤕖	父取 fq
𤕗	父又 fy
𤕘	父夂 fw
𤕚	. fw
𤕛	父手 fu
𤕜	一乂 ai｜乂乂 ii
𤕝	. xw
𤕞	. xv｜爻宁 yn
𤕟	. xp
𤕠	爻守 yu
𤕡	大爻 dy
𤕢	爻女 yn｜女攵 nw
𤕣	乚爻 gy
𤕤	八爻 by｜土八 tb
𤕥	見匕 jb｜爻見 yj
𤕦	. xl｜口爻 ky
𤕧	口爻 ky
𤕨	人爻 ry
𤕬	爿一 pa
𤕭	爿又 py
𤕮	爿也 py
𤕯	爿水 pu
𤕰	爿片 pp
𤕱	爿又 py
𤕲	爿且 pq
𤕳	爿丶 pd
𤕴	爿也 py
𤕵	爿令 pl
𤕶	爿八 pb
𤕷	爿兆 pv
𤕸	爿庄 pv
𤕹	爿贝 pb
𤕻	爿吾 pw
𤕼	爿夫 pf
𤕽	. pb
𤕾	爿求 pq
𤕿	爿土 pt
𤖀	爿丰 pf
𤖁	爿𰀁 pf
𤖄	爿丌 pq
𤖅	爿水 pu
𤖆	爿戔 pj
𤖇	爿果 pg
𤖈	爿八 pb
𤖉	爿秉 pb
𤖊	爿兀 pw
𤖋	爿臣 pi
𤖌	爿施 pu
𤖍	爿王 pw
𤖎	爿片 pp
𤖏	爿疾 pj
𤖐	爿用 py
𤖑	爿甫 pf
𤖒	爿桑 ps
𤖓	爿責 pz
𤖔	爿臣 pi
𤖕	爿酉 py
𤖖	爿黄 ph
𤖗	. ps｜爿止 pv
𤖘	. pp｜爿賁 pb
𤖙	爿皿 pm
𤖚	爿三 ps
𤖛	將旦 jd｜將且 jq
𤖜	爿零 pl
𤖝	爿詹 pv
𤖞	爿戢 pj
